Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,GTIN,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Jens Again Treats LLC,New Quantity Jens Again Treats LLC,Stock Alert Enabled Jens Again Treats LLC,Stock Alert Count Jens Again Treats LLC,Modifier Set - Brownie Toppings - Dozen Add-ons,Modifier Set - Brownie Toppings - Half Dozen Add-ons,Modifier Set - Cakesicles - Dozen Add-ons,Modifier Set - Cakesicles - Half-Dozen Add-ons,Modifier Set - Oreos - Dozen Add-ons,Modifier Set - Oreos - Half Dozen Add-ons,Modifier Set - Pretzel Variations - Dozen Add-ons,Modifier Set - Pretzel Variations - Half Dozen Add-ons,Modifier Set - Rice Krispie Treats - Dozen Add-ons,Modifier Set - Rice Krispie Treats - Half Dozen Add-ons,Modifier Set - Strawberries - Dozen Add-ons,Modifier Set - Strawberries - Half Dozen Add-ons
WNDJGKTSVNTOIYLPLAGJWPYD,Cakesicles - 1 dz,,Regular,,,,Desserts > Cakesicles,Desserts > Cakesicles,,Prepared food and beverage,,,,35.00,,N,,N,,N,,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N
LNVRSSAIV3SOZ7LC25LCHY4J,Cakesicles - ½ dz,,Regular,,,,Desserts > Cakesicles,Desserts > Cakesicles,,Prepared food and beverage,,,,25.00,,N,,N,,N,,,,,,,N,N,N,Y,N,N,N,N,N,N,N,N
VJMQXWRTGCD76FTQ3DCBUM5I,Oreos - 1 dz,,Regular,,,,Desserts > Oreos,Desserts > Oreos,,Prepared food and beverage,,,,30.00,,N,,N,,N,,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
TRXX5BEFRIWZP3PN736UCL64,Oreos - ½ dz,,Regular,,,,Desserts > Oreos,Desserts > Oreos,,Prepared food and beverage,,,,20.00,,N,,N,,N,,,,,,,N,N,N,N,N,Y,N,N,N,N,N,N
NP7YQ2NFQRHAL6QPNPUR4CHV,Pretzels Dipped -  1 dz,,Regular,,,,Desserts > Pretzels,Desserts > Pretzels,,Prepared food and beverage,,,,25.00,,N,,N,,N,,,,,,,N,N,N,N,N,N,N,Y,N,N,N,N
2OHN6XJUNP3DXY62FS46FJWN,Pretzels Dipped -  ½ dz,,Regular,,,,Desserts > Pretzels,Desserts > Pretzels,,Prepared food and beverage,,,,15.00,,N,,N,,N,,,,,,,N,N,N,N,N,N,N,Y,N,N,N,N
72RPQGA26IVX73TQE3W3PLGV,Rice Krispie Treats - 1dz,,Regular,,,,"Desserts, Desserts > Rice Krispie Treats",Desserts,,Prepared food and beverage,,,,30.00,,N,,N,,N,,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N
CGTTCM22BHKFGVREVZIA6V7O,Rice Krispie Treats - ½ dz,,Regular,,,,"Desserts, Desserts > Rice Krispie Treats",Desserts,,Prepared food and beverage,,,,20.00,,N,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N
A3FNIW3CFVCMWLLB6JZ4THRK,Strawberries - 1 dz,,Regular,,,,Desserts > Strawberries,Desserts > Strawberries,,Prepared food and beverage,,,,35.00,,N,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N
2ZZI6DQFFWN75IQL2FKA77LJ,Strawberries - ½ dz,,Regular,,,,Desserts > Strawberries,Desserts > Strawberries,,Prepared food and beverage,,,,25.00,,N,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
HVZPPHPWWJARWATK7TB74CLO,Tripple Chocolate Brownies - 1 dz,,Regular,,,"A dense, chocolate-flavored baked square or bar with a fudgy texture.",Desserts > Brownies,Desserts > Brownies,,Prepared food and beverage,,,,25.00,,N,,N,,N,,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N
PBAWEHKQ46YTSU52YSU3VHGO,Tripple Chocolate Brownies - ½ dz,,Regular,,,"A dense, chocolate-flavored baked square or bar with a fudgy texture.",Desserts > Brownies,Desserts > Brownies,,Prepared food and beverage,,,,15.00,,N,,N,,N,,,,,,,N,Y,N,N,N,N,N,N,N,N,N,N
