category,name,description,tagline
Cookies,Chocolate Chunk,Soft baked cookie loaded with rich chocolate chunks.,Singles — $4 | Box of 6 — $18
Cookies,Oatmeal Raisin,Classic chewy oatmeal cookie with plump raisins and warm spices.,Singles — $4 | Box of 6 — $18
Cookies,Brownie Cookies / Squares,Fudgy chocolate brownie baked into cookie or square form.,Singles — $4 | Box of 6 — $18
Cookies,Red Velvet White Chocolate Chip,Velvety red cocoa cookie with sweet white chocolate chips.,Singles — $4 | Box of 6 — $18
Cookies,Peanut Butter (with Peanut Butter Drizzle),Soft peanut butter cookie finished with a creamy drizzle.,Singles — $4 | Box of 6 — $18
Cookies,Banana Bread Cookies,Moist banana bread flavor in a soft cookie bite.,Singles — $4 | Box of 6 — $18
Breads & Loaves,Strawberry Bread,Soft quick bread made with real strawberries.,Loaf — $12
Breads & Loaves,Banana Bread,Classic moist banana bread with rich banana flavor.,Loaf — $12
Breads & Loaves,Hot Fudge Brownie Bread,Decadent chocolate bread with deep brownie richness.,Loaf — $14
Muffins & Rolls,Chocolate Chip Muffins,Fluffy muffin packed with chocolate chips.,Singles — $4 | 4-Pack — $14
Muffins & Rolls,Banana Bread Muffins,Moist banana muffins with classic homemade flavor.,Singles — $4 | 4-Pack — $14
Muffins & Rolls,Banana Chocolate Chip Muffins,Banana muffins studded with melty chocolate chips.,Singles — $4 | 4-Pack — $14
Muffins & Rolls,Blueberry Lemon Muffins,Bright lemon muffins bursting with blueberries.,Singles — $4 | 4-Pack — $14
Muffins & Rolls,Maple Brown Sugar Oatmeal Muffins,Hearty oatmeal muffins sweetened with maple and brown sugar.,Singles — $4 | 4-Pack — $14
Muffins & Rolls,Coffee Cake Muffins,Buttery muffins with cinnamon streusel topping.,Singles — $4 | 4-Pack — $14
Muffins & Rolls,Cinnamon Rolls,Soft cinnamon rolls swirled with brown sugar and spice.,Singles — $5 | 4-Pack — $18
